id,fecha,partido,equipo_local,equipo_visitante,abridor_local,era_local,abridor_visitante,era_visitante,mercado,prediccion,probabilidad,cuota,valor_esperado,confianza,marcador_proyectado,resumen_apuesta,resultado,acierto,score_modelo,notas
20260729-TOR-WSH-K,2026-07-29,Blue Jays vs Nationals,Nationals,Blue Jays,Zack Littell,5.17,Trey Yesavage,3.92,Strikeouts,Trey Yesavage 5+ K,68,,,Media-Alta,5-4,"Yesavage tiene buen potencial de ponches frente a Washington.",,PENDIENTE,,
20260729-BAL-DET-ML,2026-07-29,Orioles vs Tigers,Tigers,Orioles,Tarik Skubal,2.70,Trevor Rogers,4.17,ML,Tigers ML,71,,,Alta,4-2,"Skubal llega como uno de los mejores abridores de la Liga Americana.",,PENDIENTE,,
20260729-BAL-DET-TT,2026-07-29,Orioles vs Tigers,Tigers,Orioles,Tarik Skubal,2.70,Trevor Rogers,4.17,Team Total,Tigers +2.5,67,,,Media-Alta,4-2,"Detroit llega encendido ofensivamente tras anotar 14 carreras en el juego anterior.",,PENDIENTE,,
20260729-BAL-DET-K,2026-07-29,Orioles vs Tigers,Tigers,Orioles,Tarik Skubal,2.70,Trevor Rogers,4.17,Strikeouts,Tarik Skubal 6+ K,72,,,Alta,4-2,"Skubal atraviesa un gran momento y suele generar muchos ponches.",,PENDIENTE,,
20260729-ATL-NYM-ML,2026-07-29,Braves vs Mets (Juego 1),Mets,Braves,Sean Manaea,4.52,AJ Smith-Shawver,,ML,Braves ML,68,,,Media-Alta,5-3,"Atlanta tiene un lineup superior; la incógnita es el límite de lanzamientos de Smith-Shawver.",,PENDIENTE,,
20260729-ATL-NYM-TT,2026-07-29,Braves vs Mets (Juego 1),Mets,Braves,Sean Manaea,4.52,AJ Smith-Shawver,,Team Total,Braves +2.5,70,,,Alta,5-3,"Manaea ha sido inconsistente y Atlanta suele producir ante zurdos.",,PENDIENTE,,
20260729-ATL-NYM-OV,2026-07-29,Braves vs Mets (Juego 1),Mets,Braves,Sean Manaea,4.52,AJ Smith-Shawver,,Over,Over 8.5,58,,,Media,5-3,"Existe incertidumbre sobre la duración del abridor de Atlanta y el bullpen podría entrar temprano.",,PENDIENTE,,
20260729-HOU-LAA-ML,2026-07-29,Astros vs Angels,Angels,Astros,Grayson Rodriguez,8.54,Hayden Wesneski,,ML,Astros ML,75,,,Alta,5-3,"Houston llega con mejor ofensiva, bullpen sólido y enfrenta a un abridor con ERA de 8.54.",,PENDIENTE,,
20260729-HOU-LAA-TT,2026-07-29,Astros vs Angels,Angels,Astros,Grayson Rodriguez,8.54,Hayden Wesneski,,Team Total,Astros +2.5,74,,,Alta,5-3,"Se proyectan al menos tres carreras por el mal momento de Grayson Rodriguez.",,PENDIENTE,,
20260729-HOU-LAA-RBI,2026-07-29,Astros vs Angels,Angels,Astros,Grayson Rodriguez,8.54,Hayden Wesneski,,Player Prop,Yordan Alvarez 1+ RBI,68,,,Media-Alta,5-3,"Yordan llega en buen momento y enfrenta a un pitcher que ha permitido mucho contacto.",,PENDIENTE,,
20260729-HOU-LAA-K,2026-07-29,Astros vs Angels,Angels,Astros,Grayson Rodriguez,8.54,Hayden Wesneski,,Strikeouts,Hayden Wesneski 4+ K,66,,,Media,5-3,"Se espera una apertura controlada con oportunidad de llegar a cuatro ponches.",,PENDIENTE,,
20260729-CHC-STL-ML,2026-07-29,Cubs vs Cardinals,Cardinals,Cubs,Dustin May,,Matthew Boyd,,ML,Cubs ML,74,,,Alta,5-3,"Chicago llega encendido ofensivamente y Matthew Boyd atraviesa un gran momento.",,PENDIENTE,,
20260729-CHC-STL-TT,2026-07-29,Cubs vs Cardinals,Cardinals,Cubs,Dustin May,,Matthew Boyd,,Team Total,Cubs +2.5,73,,,Alta,5-3,"Dustin May ha bajado su rendimiento y los Cubs vienen de anotar 10 carreras.",,PENDIENTE,,
20260729-CHC-STL-K,2026-07-29,Cubs vs Cardinals,Cardinals,Cubs,Dustin May,,Matthew Boyd,,Strikeouts,Matthew Boyd 5+ K,70,,,Media-Alta,5-3,"Boyd ha mostrado buena capacidad para generar ponches en sus últimas aperturas.",,PENDIENTE,,
20260729-TEX-TB-ML,2026-07-29,Rangers vs Rays,Rays,Rangers,Casey Legumina,3.95,MacKenzie Gore,4.82,ML,Rays ML,71,,,Media-Alta,4-3,"Tampa aprovecha su bullpen y juega fuerte en casa.",,PENDIENTE,,
20260729-TEX-TB-UN,2026-07-29,Rangers vs Rays,Rays,Rangers,Casey Legumina,3.95,MacKenzie Gore,4.82,Under,Under 8.5,69,,,Media,4-3,"Se espera un juego cerrado con predominio del pitcheo.",,PENDIENTE,,
20260729-TEX-TB-TT,2026-07-29,Rangers vs Rays,Rays,Rangers,Casey Legumina,3.95,MacKenzie Gore,4.82,Team Total,Rays +2.5,68,,,Media,4-3,"La ofensiva de Tampa tiene un enfrentamiento favorable frente a Gore.",,PENDIENTE,,
20260729-CLE-CIN-ML,2026-07-29,Guardians vs Reds,Reds,Guardians,Brady Singer,4.53,Joey Cantillo,4.02,ML,Guardians ML,68,,,Media-Alta,5-4,"Cantillo ha sido más consistente que Singer durante la temporada.",,PENDIENTE,,
20260729-CLE-CIN-OV,2026-07-29,Guardians vs Reds,Reds,Guardians,Brady Singer,4.53,Joey Cantillo,4.02,Over,Over 8.5,67,,,Media,5-4,"Great American Ball Park favorece la ofensiva y ambos abridores tienen ERA superior a 4.",,PENDIENTE,,
20260729-CLE-CIN-K,2026-07-29,Guardians vs Reds,Reds,Guardians,Brady Singer,4.53,Joey Cantillo,4.02,Strikeouts,Joey Cantillo 5+ K,66,,,Media,5-4,"Cantillo tiene buen potencial de ponches frente a Cincinnati.",,PENDIENTE,,
20260729-SEA-LAD-ML,2026-07-29,Mariners vs Dodgers,Dodgers,Mariners,Eric Lauer,4.83,Emerson Hancock,3.16,ML,Dodgers ML,74,,,Alta,6-4,"La profundidad ofensiva de Dodgers compensa la buena temporada de Hancock.",,PENDIENTE,,
20260729-SEA-LAD-TT,2026-07-29,Mariners vs Dodgers,Dodgers,Mariners,Eric Lauer,4.83,Emerson Hancock,3.16,Team Total,Dodgers +2.5,73,,,Alta,6-4,"Se espera que el lineup de Los Ángeles produzca al menos tres carreras.",,PENDIENTE,,
20260729-SEA-LAD-OV,2026-07-29,Mariners vs Dodgers,Dodgers,Mariners,Eric Lauer,4.83,Emerson Hancock,3.16,Over,Over 8.5,69,,,Media-Alta,6-4,"Ambas ofensivas tienen suficiente poder para superar el total.",,PENDIENTE,,
20260729-SD-COL-ML,2026-07-29,Padres vs Rockies,Padres,Rockies,Kyle Hart,5.21,Gabriel Hughes,2.79,ML,Padres ML,73,,,Alta,5-3,"San Diego llega con la ofensiva encendida, bullpen superior y mejor profundidad de lineup; Hughes ha lanzado bien pero tiene poca experiencia en MLB.",,PENDIENTE,,
20260729-SD-COL-TT,2026-07-29,Padres vs Rockies,Padres,Rockies,Kyle Hart,5.21,Gabriel Hughes,2.79,Team Total,Padres +2.5,74,,,Alta,5-3,"La ofensiva de Padres tiene un matchup favorable frente a un abridor novato y un bullpen inconsistente de Colorado.",,PENDIENTE,,
20260729-SD-COL-OV,2026-07-29,Padres vs Rockies,Padres,Rockies,Kyle Hart,5.21,Gabriel Hughes,2.79,Over,Over 8.5,66,,,Media,5-3,"Ambos abridores pueden permitir tráfico en bases y el bullpen de Colorado incrementa la probabilidad de un juego con carreras.",,PENDIENTE,,
20260729-NYY-CWS-ML,2026-07-29,Yankees vs White Sox,White Sox,Yankees,Davis Martin,3.49,Cam Schlittler,2.07,ML,Yankees ML,76,,,Alta,5-2,"Schlittler llega con 2.07 ERA y gran capacidad de ponches; ventaja clara sobre Davis Martin y mejor pitcheo colectivo de Nueva York.",,PENDIENTE,,
20260729-NYY-CWS-K,2026-07-29,Yankees vs White Sox,White Sox,Yankees,Davis Martin,3.49,Cam Schlittler,2.07,Strikeouts,Cam Schlittler 7+ K,75,,,Alta,5-2,"Viene de una apertura de 12 ponches y enfrenta una alineación que suele abanicar bastante.",,PENDIENTE,,
20260729-NYY-CWS-TT,2026-07-29,Yankees vs White Sox,White Sox,Yankees,Davis Martin,3.49,Cam Schlittler,2.07,Team Total,Yankees +2.5,73,,,Alta,5-2,"La ofensiva de Nueva York debería producir al menos tres carreras con el respaldo de un abridor dominante.",,PENDIENTE,,
0260730-ATH-BOS-ML,2026-07-30,Red Sox vs Athletics,Athletics,Red Sox,Mason Barnett,4.74,Sonny Gray,2.78,ML,Red Sox ML,73,,,Alta,6-3,"Gran ventaja de abridor, bullpen superior y mejor forma reciente de Boston.",,PENDIENTE,74.6,"Barnett proyectado como Opener."
20260730-ATH-BOS-TT,2026-07-30,Red Sox vs Athletics,Athletics,Red Sox,Mason Barnett,4.74,Sonny Gray,2.78,TT,Red Sox Over 4.5,69,,,Alta,6-3,"Boston enfrenta opener y bullpen vulnerable.",,PENDIENTE,72.8,"Buena expectativa ofensiva."
20260730-ATH-BOS-OU,2026-07-30,Red Sox vs Athletics,Athletics,Red Sox,Mason Barnett,4.74,Sonny Gray,2.78,OU,Over 8.5,63,,,Media,6-3,"Boston puede producir la mayor parte del total.",,PENDIENTE,66.2,"Menor aporte esperado de Oakland."
20260730-TB-TEX-ML,2026-07-30,Rays vs Rangers,Rays,Rangers,Shane McClanahan,3.09,Cole Winn,6.11,ML,Rays ML,69,,,Alta,5-2,"McClanahan domina ampliamente al opener de Texas.",,PENDIENTE,74.6,"Openers penalizan el modelo."
20260730-TB-TEX-TT,2026-07-30,Rays vs Rangers,Rays,Rangers,Shane McClanahan,3.09,Cole Winn,6.11,TT,Rays Over 4.5,67,,,Alta,5-2,"Ventaja clara frente al bullpen game.",,PENDIENTE,71.3,"Valor aceptable."
20260730-TB-TEX-OU,2026-07-30,Rays vs Rangers,Rays,Rangers,Shane McClanahan,3.09,Cole Winn,6.11,OU,Under 8.5,57,,,Media,5-2,"McClanahan limita el aporte ofensivo rival.",,PENDIENTE,59.8,"Lean solamente."
20260730-NYY-CWS-ML,2026-07-30,Yankees vs White Sox,White Sox,Yankees,Sean Burke,3.19,Ryan Weathers,4.25,ML,Yankees ML,73,,,Media-Alta,5-3,"A pesar del cambio de abridor, Nueva York conserva ligera ventaja ofensiva.",,PENDIENTE,73.0,"Duelo en Chicago."
20260730-NYY-CWS-TT,2026-07-30,Yankees vs White Sox,White Sox,Yankees,Sean Burke,3.19,Ryan Weathers,4.25,Team Total,Yankees +2.5,72,,,Media-Alta,5-3,"La ofensiva de Yankees mantiene buena proyección de carreras.",,PENDIENTE,72.0,"Proyección de carreras válida."
20260730-CHC-STL-ML,2026-07-30,Cubs vs Cardinals,Cardinals,Cubs,Andre Pallante,3.77,Javier Assad,3.86,ML,Cubs ML,71,,,Media-Alta,5-4,"Duelo muy parejo; ligera ventaja para Chicago.",,PENDIENTE,71.0,"Matchup divisional."
20260730-CHC-STL-TT,2026-07-30,Cubs vs Cardinals,Cardinals,Cubs,Andre Pallante,3.77,Javier Assad,3.86,Team Total,Cubs +2.5,72,,,Media-Alta,5-4,"Chicago tiene potencial para anotar tres o más carreras.",,PENDIENTE,72.0,"Línea accesible para Cubs."
